propertyCode,url,address,size,floor,province,municipality,district,price,rooms,hasLift,hasParking,hasTerrace,hasSwimmingPool,hasAirConditioning,hasGarden,bathrooms
105609718,https://www.idealista.com/inmueble/105609718/,subdistrict Valdemarín,143.0,1,Madrid,Madrid,Moncloa,980000.0,3,True,True,,True,True,True,3
94914491,https://www.idealista.com/inmueble/94914491/,subdistrict Conde Orgaz-Piovera,720.0,,Madrid,Madrid,Hortaleza,3100000.0,5,,True,False,True,True,True,5
99851911,https://www.idealista.com/inmueble/99851911/,"calle de la Salud, 12",196.0,2,Madrid,Madrid,Centro,1290000.0,3,True,,,,True,,2
104602745,https://www.idealista.com/inmueble/104602745/,"calle de Argensola, 11",74.0,2,Madrid,Madrid,Centro,645000.0,2,True,,False,False,True,False,1
103365843,https://www.idealista.com/inmueble/103365843/,"calle de Mesonero Romanos, 4",147.0,5,Madrid,Madrid,Centro,1080000.0,4,True,,True,False,True,False,3
105569931,https://www.idealista.com/inmueble/105569931/,subdistrict San Pascual,75.0,10,Madrid,Madrid,Ciudad Lineal,555000.0,2,True,True,True,True,True,True,1
104180285,https://www.idealista.com/inmueble/104180285/,subdistrict Conde Orgaz-Piovera,800.0,,Madrid,Madrid,Hortaleza,2450000.0,5,,True,True,True,False,True,6
103565392,https://www.idealista.com/inmueble/103565392/,calle de Santolinas,160.0,,Madrid,Madrid,Chamartín,1050000.0,3,,,True,False,True,True,3
104499449,https://www.idealista.com/inmueble/104499449/,calle de Goya,379.0,3,Madrid,Madrid,Barrio de Salamanca,3600000.0,5,True,,True,False,True,False,5
105197920,https://www.idealista.com/inmueble/105197920/,plaza Manolete,165.0,15,Madrid,Madrid,Tetuán,1175000.0,3,True,True,False,False,True,False,3
106026132,https://www.idealista.com/inmueble/106026132/,calle de Toledo,89.0,4,Madrid,Madrid,Centro,529000.0,3,True,,False,False,True,False,1
96157390,https://www.idealista.com/inmueble/96157390/,calle de Recoletos no number,247.0,1,Madrid,Madrid,Barrio de Salamanca,2600000.0,4,True,,False,False,True,False,3
106054735,https://www.idealista.com/inmueble/106054735/,calle de Guillermo de Osma,128.0,4,Madrid,Madrid,Arganzuela,660000.0,3,True,True,True,True,True,False,2
104281658,https://www.idealista.com/inmueble/104281658/,calle de Cambrils,753.0,,Madrid,Madrid,Fuencarral,2460000.0,7,,True,True,True,True,True,6
104356208,https://www.idealista.com/inmueble/104356208/,calle de Ferraz,316.0,3,Madrid,Madrid,Moncloa,1890000.0,4,True,,True,False,True,False,3
104177407,https://www.idealista.com/inmueble/104177407/,calle de Artesa de Segre,80.0,bj,Madrid,Madrid,Moncloa,490000.0,1,True,True,False,True,True,True,1
106095508,https://www.idealista.com/inmueble/106095508/,subdistrict Alameda de Osuna,333.0,,Madrid,Madrid,Barajas,1350000.0,4,,True,True,True,True,True,3
105959560,https://www.idealista.com/inmueble/105959560/,calle Brújula,303.0,,Madrid,Madrid,Moncloa,1350000.0,4,,True,True,True,False,True,5
101215323,https://www.idealista.com/inmueble/101215323/,calle de Jorge Juan,151.0,1,Madrid,Madrid,Barrio de Salamanca,995000.0,3,True,,False,False,True,False,2
100843738,https://www.idealista.com/inmueble/100843738/,Abedul,593.0,bj,Madrid,Madrid,Chamartín,2490000.0,4,True,True,False,True,True,False,3
105205924,https://www.idealista.com/inmueble/105205924/,calle del Príncipe de Vergara,160.0,7,Madrid,Madrid,Chamartín,1290000.0,4,True,,True,False,True,False,3
105276550,https://www.idealista.com/inmueble/105276550/,calle de Alcalá,165.0,6,Madrid,Madrid,Barrio de Salamanca,1690000.0,3,True,,False,False,False,False,3
104611757,https://www.idealista.com/inmueble/104611757/,calle de Artesa de Segre,80.0,bj,Madrid,Madrid,Moncloa,490000.0,1,True,True,False,True,True,True,1
105624633,https://www.idealista.com/inmueble/105624633/,subdistrict Malasaña-Universidad,90.0,3,Madrid,Madrid,Centro,575000.0,2,True,,False,False,True,False,1
103997327,https://www.idealista.com/inmueble/103997327/,calle de Ayala,306.0,4,Madrid,Madrid,Barrio de Salamanca,2630000.0,5,True,,True,False,True,False,4
105326648,https://www.idealista.com/inmueble/105326648/,calle de Rafael de la Hoz,233.0,,Madrid,Madrid,San Blas,1250000.0,5,,True,True,True,True,True,6
101215323,https://www.idealista.com/inmueble/101215323/,calle de Jorge Juan,151.0,1,Madrid,Madrid,Barrio de Salamanca,995000.0,3,True,,False,False,True,False,2
105122568,https://www.idealista.com/inmueble/105122568/,calle de Goya,379.0,3,Madrid,Madrid,Barrio de Salamanca,3600000.0,5,True,,True,False,True,False,4
102093483,https://www.idealista.com/inmueble/102093483/,calle de la Academia,124.0,2,Madrid,Madrid,Retiro,1200000.0,2,True,,False,False,True,False,2
102922909,https://www.idealista.com/inmueble/102922909/,paseo de los Jacintos,269.0,,Madrid,Madrid,Chamartín,3000000.0,4,,True,,True,True,True,5
105622597,https://www.idealista.com/inmueble/105622597/,subdistrict Sanchinarro,87.0,,Madrid,Madrid,Hortaleza,535000.0,2,True,True,False,True,True,False,2
103933173,https://www.idealista.com/inmueble/103933173/,calle de Dulce Chacón,64.0,3,Madrid,Madrid,Hortaleza,435000.0,0,True,True,True,True,True,True,1
106133910,https://www.idealista.com/inmueble/106133910/,calle del Labrador,84.0,5,Madrid,Madrid,Arganzuela,435000.0,2,True,,False,False,True,False,2
103334938,https://www.idealista.com/inmueble/103334938/,calle de Zumárraga,780.0,,Madrid,Madrid,Moncloa,2950000.0,7,,True,True,True,False,False,8
104804013,https://www.idealista.com/inmueble/104804013/,calle Joaquín Bau,258.0,9,Madrid,Madrid,Chamartín,2290000.0,4,True,True,,,True,,4
105229967,https://www.idealista.com/inmueble/105229967/,calle de Viriato,330.0,1,Madrid,Madrid,Chamberí,1540000.0,5,True,,False,True,True,False,3
106167991,https://www.idealista.com/inmueble/106167991/,subdistrict Recoletos,244.0,3,Madrid,Madrid,Barrio de Salamanca,3450000.0,4,True,,False,False,True,False,4
28839965,https://www.idealista.com/inmueble/28839965/,calle Paradores,1525.0,,Madrid,Madrid,Moncloa,3100000.0,5,,True,True,True,True,True,6
105033854,https://www.idealista.com/inmueble/105033854/,calle del Conde de Peñalver,172.0,2,Madrid,Madrid,Barrio de Salamanca,2350000.0,4,True,,False,False,False,False,4
105704914,https://www.idealista.com/inmueble/105704914/,calle de Hilarión Eslava,265.0,2,Madrid,Madrid,Chamberí,1200000.0,5,True,True,True,False,True,False,3
102389393,https://www.idealista.com/inmueble/102389393/,calle del Duque de Sesto,121.0,7,Madrid,Madrid,Barrio de Salamanca,1280000.0,3,True,,False,False,True,False,2
105133420,https://www.idealista.com/inmueble/105133420/,paseo del General Martínez Campos,204.0,3,Madrid,Madrid,Chamberí,2300000.0,3,True,True,True,False,True,False,4
106018836,https://www.idealista.com/inmueble/106018836/,subdistrict Bernabéu-Hispanoamérica,89.0,3,Madrid,Madrid,Chamartín,670000.0,2,True,True,True,False,True,False,1
105456571,https://www.idealista.com/inmueble/105456571/,subdistrict Nueva España,68.0,3,Madrid,Madrid,Chamartín,530000.0,1,True,True,False,True,True,True,1
103342470,https://www.idealista.com/inmueble/103342470/,avenida de Fuentelarreina,510.0,,Madrid,Madrid,Moncloa,2250000.0,6,,True,True,True,True,True,7
104613472,https://www.idealista.com/inmueble/104613472/,calle de Francisco de Rojas,227.0,3,Madrid,Madrid,Chamberí,2400000.0,3,True,,False,False,True,False,3
100843565,https://www.idealista.com/inmueble/100843565/,Abedul,486.0,3,Madrid,Madrid,Chamartín,2600000.0,4,True,,,,True,,3
105438638,https://www.idealista.com/inmueble/105438638/,de Alberto Aguilera,170.0,1,Madrid,Madrid,Centro,1060000.0,4,True,,False,False,True,False,4
103610280,https://www.idealista.com/inmueble/103610280/,calle del General Díaz Porlier,116.0,4,Madrid,Madrid,Barrio de Salamanca,1380000.0,3,True,,True,False,True,False,2
105003804,https://www.idealista.com/inmueble/105003804/,paseo de Moret,268.0,1,Madrid,Madrid,Moncloa,2100000.0,4,True,True,False,False,True,False,3
103775089,https://www.idealista.com/inmueble/103775089/,paseo de la Castellana,279.0,4,Madrid,Madrid,Tetuán,2200000.0,4,True,True,True,,True,,4
97416073,https://www.idealista.com/inmueble/97416073/,subdistrict Almagro,457.0,5,Madrid,Madrid,Chamberí,4200000.0,5,True,True,True,,False,,3
101133402,https://www.idealista.com/inmueble/101133402/,subdistrict El Viso,256.0,6,Madrid,Madrid,Chamartín,2300000.0,5,True,True,,,True,,5
104428294,https://www.idealista.com/inmueble/104428294/,calle Paradores,541.0,,Madrid,Madrid,Moncloa,2300000.0,5,,True,True,True,False,True,5
103628504,https://www.idealista.com/inmueble/103628504/,calle de Amorebieta,1768.0,,Madrid,Madrid,Moncloa,2900000.0,8,,True,,True,True,True,12
105547133,https://www.idealista.com/inmueble/105547133/,calle Peguerinos,709.0,,Madrid,Madrid,Moncloa,3900000.0,5,,True,False,True,True,True,6
92717047,https://www.idealista.com/inmueble/92717047/,calle del Maestro Ripoll,370.0,,Madrid,Madrid,Chamartín,4300000.0,5,,,,,False,True,4
104179896,https://www.idealista.com/inmueble/104179896/,Amorabieta,1768.0,,Madrid,Madrid,Moncloa,2900000.0,8,,True,True,True,True,True,9
105903977,https://www.idealista.com/inmueble/105903977/,subdistrict Montecarmelo,125.0,1,Madrid,Madrid,Fuencarral,645000.0,3,True,True,False,True,False,True,2
