propertyCode,latitude,longitude
103334938,40.4715212,-3.8144169
101133402,40.4382632,-3.6823748
105438638,40.4282503,-3.7107826
102389393,40.421072,-3.6768439
104613472,40.4287757,-3.6985114
97416073,40.4329034,-3.6893372
100843565,40.464567,-3.6831311
106167991,40.4237288,-3.6795971
28839965,40.4760715,-3.8289866
105704914,40.4359368,-3.7169046
103342470,40.4737336,-3.7501349
105003804,40.4322716,-3.7223126
105438638,40.4282503,-3.7107826
28839965,40.4760715,-3.8289866
105943886,40.4758298,-3.7386552
97396480,40.4603737,-3.6855484
104428294,40.4762039,-3.8294604
98300869,40.456,-3.7719251
92717047,40.4423696,-3.6906382
103682987,40.4756922,-3.8261937
104179896,40.4689306,-3.8130415
105547133,40.4734429,-3.734196
102694762,40.4530377,-3.6714334
103930746,40.4453741,-3.6350711
105500975,40.4584404,-3.6844283
100146519,40.4442095,-3.6828575
105725481,40.4371153,-3.7157493
105197920,40.4524481,-3.691719
106107690,40.4009772,-3.673958
103565392,40.4556304,-3.6638265
88552525,40.4610371,-3.7762809
106296133,40.4659724,-3.682458
100638364,40.4140217,-3.7030768
105083647,40.4460754,-3.6649904
105963713,40.3819556,-3.7482734
106291670,40.4371603,-3.7143492
96990574,40.4555208,-3.6274032
106291235,40.4376599,-3.7183094
106026132,40.4079779,-3.7127012
105881116,40.4929795,-3.6874385
105897932,40.4920715,-3.711819
103365766,40.4233696,-3.7087501
105892928,40.3942468,-3.6927687
105753604,40.4148628,-3.6744791
103052663,40.4346699,-3.6877084
105245909,40.3922522,-3.6813742
104804297,40.4169365,-3.710742
106002365,40.4346412,-3.7154197
104526526,40.4026745,-3.6962456
106185665,40.4681452,-3.6650287
103518655,40.453757,-3.6373765
104804297,40.4169365,-3.710742
102787971,40.4461852,-3.7857646
105693058,40.4254964,-3.6751236
104286191,40.4367067,-3.6928558
105753604,40.4148628,-3.6744791
106026132,40.4079779,-3.7127012
104607160,40.4595441,-3.6222423
28853762,40.4498754,-3.6223596
102750021,40.4596483,-3.6334482
105965544,40.4724082,-3.7509219
105692476,40.4077853,-3.7199538
105939781,40.4602157,-3.6909238
104544416,40.4202997,-3.6751845
104870436,40.47234,-3.6868329
104812684,40.4535355,-3.666009
105697150,40.4005953,-3.7184088
102993565,40.4359128,-3.6775768
101329238,40.4224304,-3.6702581
104566289,40.4244688,-3.6718166
102455413,40.4365688,-3.6848098
105501144,40.4306837,-3.6808062
106185285,40.4787013,-3.738231
103094871,40.4204574,-3.6755002
100736950,40.4236102,-3.6859998
105980504,40.3938949,-3.683773
105882131,40.3916087,-3.7024861
104870397,40.4758656,-3.6858161
105505309,40.4288958,-3.6824906
105329169,40.4344853,-3.678906
103366793,40.4589323,-3.6239163
93752362,40.4704826,-3.7295494
105913955,40.4142752,-3.6954348
103967986,40.4932358,-3.7066606
104161105,40.4503832,-3.6424965
106151385,40.4155465,-3.7115386
105495786,40.4059353,-3.7052303
105206390,40.4020122,-3.7364496
105528295,40.4265926,-3.6748106
105490983,40.4247206,-3.6708387
105528295,40.4265926,-3.6748106
106151385,40.4155465,-3.7115386
105436920,40.4277507,-3.6691161
105521069,40.4160307,-3.7113659
105027138,40.456408,-3.762744
105510209,40.4384314,-3.6857675
105206390,40.4020122,-3.7364496
105615858,40.4709003,-3.8109539
105495786,40.4059353,-3.7052303
105897372,40.4376846,-3.6773039
105020455,40.4371355,-3.698247
97758039,40.4663931,-3.6784013
97363205,40.45659,-3.64538
104349495,40.4275515,-3.6868171
105324431,40.4565106,-3.6756241
104850359,40.4125706,-3.707258
104079414,40.4423866,-3.6886937
106065853,40.4209901,-3.6988654
104663736,40.4644824,-3.6872123
104244580,40.425167,-3.6893296
103005702,40.4157254,-3.7133075
106149700,40.3828378,-3.6954368
106190415,40.4226311,-3.7012052
